type,chapter,section_title,title,text,image,category,accent
item,8,,,"2013年に追悼碑を建立したことを契機に、残された大きな課題である遺骨の収集に取り組んできました。
追悼碑には犠牲となった１８３名の方々の名前が刻まれています。",images/追悼碑.jpg,,#f59e0b
item,8,,,"　1942年2月3日早朝、ここ西岐波の浜辺にあった長生炭鉱で、「水非常」（水没事故）が起き、183名もの人々が生きながら、坑道に封じ込められてしまいました。
　アジア・太平洋戦争に突入した日本は、国策として、石炭の増産を強く推し進めたのです。それは漏水を繰り返していた危険な長生炭鉱も例外ではありませんでした。
　犠牲者のうち136名は、日本の植民地政策のために土地・財産などを失い、やむなく日本に仕事を求めてわたってきたり、あるいは労働力として強制的に連行されてきた朝鮮人だったのです。
　また、日本人47名も、多くの戦災者と同様、戦時中の混乱の中でかえりみられませんでした。
　無念の死を遂げ、今もなお目の前の二本のピーヤの底深くに眠っている人々について、つつしんで哀悼の意を捧げます。
　とりわけ、朝鮮人とその遺族に対しては、日本人として心からおわびいたします。
　私たちは、このような悲劇を生んだ日本の歴史を反省し、再び他民族をふみつけにするような暴虐な権力の出現を許さないために、力の限り尽くすことを誓い、ここに犠牲者の名を刻みます。",images/追悼碑文.jpg,,#f59e0b
,,,,,,,
intro,9,,遺骨収容プロジェクト,"2024年から刻む会は、政府交渉のみに事態の進展をゆだねず、民間が坑口を開ける工事を先導し政府を動かす方針を固めました。
日本政府は「海底のため遺骨の位置や深度がわからないので発掘は困難だと理解してほしい。“見える遺骨”に限り調査する」という姿勢。
直系遺族である息子さんたちは高齢化し時間が残されておらず、政府の対応を待っていては、遺骨の対面は不可能に近いという判断。
宇部市や地元関係団体などとも交渉を重ね、クラウドファンディングで8000万円を集めるなど大きな注目を集めてきました。

",,,#f59e0b
item,9,,,"４回のCFでは合計8000万の資金を集め、このプロジェクトの進展は大きな注目を集めた
第１次CF：坑口を発掘し、潜水調査を実現
第２次CF：坑口の補強、DNA鑑定・返還事業
第３次CF：ピーヤ内障害物の除去とピーヤからの潜水成功、初の遺骨収容
第４次CF：国際潜水チームによる調査と安全対策の強化、遺骨収容",images/坑口発掘.jpg,,#f59e0b
item,9,,,2025年8月の日韓ダイバーによる潜水調査において、頭がい骨と大腿骨が発見され、警察の鑑定により人骨であることが認められました。,images/日韓ダイバー遺骨発見（D4P）.jpg,,#f59e0b
item,9,,,"2026年２月　水中洞窟の探索や専門的潜水調査の経験が豊富な海外ダイバーの協力者を招き、さらに本格的な調査と遺骨の救出が試みられました。
前日の記者会見は地域の公共施設の一室からあふれるほどの報道陣がつめかけ、調査と同時に行われた追悼集会には、全国からその行く末を見守る市民が集まりました。",images/事前記者会見.jpg,,#f59e0b
item,9,,,その結果、新たな遺骨を発見することができました。その遺骨は金歯をしており、おそらく現場の責任者クラスの日本人の遺骨であろうということです。遺骨は遺族団との面会の後、現地警察に引き渡されました。,images/頭骨発見.jpeg,,#f59e0b
item,9,,,"しかし一方で、このプロジェクトに参加していた台湾のダイバーのウェイスー（ヴィクター）さんが亡くなるという悲しい結果になりました。
ヴィクターさんは機材への知識も非常に深く、チームのなかでもとりわけベテランのダイバーでした。
遺族の方によれば、「より多くの人の力になりたい」という思いから招聘に応じ、長生炭鉱に来てくれていたそうです。",images/victor.jpeg,,#f59e0b
item,9,,,刻む会としては現在今後のありかたを検討中ですが、遺骨収容は引き続き継続したいという意向を示しています。,,,#f59e0b
